company_id,company_name,city,trade_name,service_slug,service_name,confidence,evidence_text,source_field,reason,suggested_action,quality_status,quality_note,reviewer_decision,reviewer_note
"53190cdc-7f70-416a-8175-725b7b09f17c","Inntaler Naturbau GmbH","Bad Endorf","Bauunternehmen","hochbau","Hochbau","high","Hochbau / Naturbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","READY_TO_APPROVE","Direkter Leistungsbegriff in Evidence, passendes Gewerk und Ort vorhanden, kein Ambiguity-Hinweis.","",""
"c43e6604-2c1f-400e-8b01-94715aa3beec","Hoch- und Tiefbau Hans Obermair GmbH","Oberaudorf","Bauunternehmen","hochbau","Hochbau","high","Hochbau / Tiefbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","READY_TO_APPROVE","Direkter Leistungsbegriff in Evidence, passendes Gewerk und Ort vorhanden, kein Ambiguity-Hinweis.","",""
"87971dd0-5714-4e49-9eb1-b8a2c1686700","Baugeschäft Maurer GmbH","Stephanskirchen-Ziegelberg","Bauunternehmen","hochbau","Hochbau","high","Baugeschäft / Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","READY_TO_APPROVE","Direkter Leistungsbegriff in Evidence, passendes Gewerk und Ort vorhanden, kein Ambiguity-Hinweis.","",""
"2aa4a881-f69e-441b-9343-684333a91c7d","Baugeschäft Andreas Dörfl GmbH & Co. KG","Aschau im Chiemgau","Bauunternehmen","hochbau","Hochbau","high","Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","REVIEW_MANUALLY","Evidence ist sehr kurz; vor Freigabe manuell prüfen.","",""
"a18e360a-1359-494d-9c12-4218655b1c81","Sebastian Koch Baugeschäft GmbH","Aschau im Chiemgau","Bauunternehmen","hochbau","Hochbau","high","Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","REVIEW_MANUALLY","Evidence ist sehr kurz; vor Freigabe manuell prüfen.","",""
"92bc78b8-ec98-4fb8-94e5-5d46bae65c15","Grosch Bauunternehmen GmbH & Co. KG","Bad Aibling","Bauunternehmen","hochbau","Hochbau","high","Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","REVIEW_MANUALLY","Evidence ist sehr kurz; vor Freigabe manuell prüfen.","",""
"0278628f-2cd3-49dd-b6c5-27479658ae1d","Hausbau Jegg GmbH","Bad Aibling","Bauunternehmen","hochbau","Hochbau","high","Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","REVIEW_MANUALLY","Evidence ist sehr kurz; vor Freigabe manuell prüfen.","",""
"4223fca9-2cbc-490a-905d-ce39c00ecf26","Pumpfer Bauunternehmung GmbH","Bad Aibling","Bauunternehmen","hochbau","Hochbau","high","Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","REVIEW_MANUALLY","Evidence ist sehr kurz; vor Freigabe manuell prüfen.","",""
"7514d76a-8804-4733-89a1-8792ebfc6326","Schwaiger Bau GmbH","Bad Aibling","Bauunternehmen","hochbau","Hochbau","high","Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","REVIEW_MANUALLY","Evidence ist sehr kurz; vor Freigabe manuell prüfen.","",""
"72c736ba-3928-4c0f-9830-01e411d64c67","Holzmaier Bau GmbH & Co. KG","Bad Endorf","Bauunternehmen","hochbau","Hochbau","high","Hochbau","company_trades.evidence","Service-Name direkt in company_trades.evidence gefunden und fachlich dem Gewerk bauunternehmen zuordenbar.","review_and_confirm_company_service","REVIEW_MANUALLY","Evidence ist sehr kurz; vor Freigabe manuell prüfen.","",""
